Absolonová Kateřina;[2002];['Str.pro otevřenou společnost'];['2749'];['2.80'];['15'];['12'];['36'];['NO'];1
Adam Lubomír;[2002];['Naděje'];['188'];['2.07'];['20'];['\xa0'];['33'];['NO'];0
Apltauer Jan;[2002];['Naděje'];['487'];['5.38'];['2'];['\xa0'];['27'];['NO'];1
Bahníková Štefania;[2002];['Unie pro sport a zdraví'];['2320'];['3.27'];['3'];['4'];['49'];['NO'];1
Bachtík Jan;[2002, 2006];['Unie pro sport a zdraví', 'Unie pro sport a zdraví'];['1905', '2202'];['2.69', '2.15'];['11', '27'];['9', '24'];['68', '72'];['NO', 'NO'];0
Balvirčáková Blanka;[2002];['Pravý Blok'];['105'];['3.65'];['14'];['\xa0'];['20'];['NO'];0
Bartoš Jan;[2002, 2010, 2014, 2018];['Demokratická regionální strana', 'Demokratická regionální strana', 'Úsvit přímé demokracie', 'Svob.a př.dem.-T.Okamura (SPD)'];['1336', '976', '401', '1424'];['2.21', '2.05', '2.76', '2.61'];['27', '22', '5', '8'];['24', '-', '-', '-'];['58', '66', '70', '74'];['NO', 'NO', 'NO', 'NO'];0
Bartoš Petr;[2002];['Pravý Blok'];['114'];['3.96'];['12'];['\xa0'];['54'];['NO'];0
Bartošová Irena;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['739'];['2.08'];['31'];['\xa0'];['46'];['NO'];1
Bartošová Sylvie;[2002];['Pravý Blok'];['118'];['4.10'];['10'];['\xa0'];['47'];['NO'];0
Bařinka Jaroslav;[2002];['Unie svobody-Demokratická unie'];['1426'];['2.64'];['17'];['16'];['61'];['NO'];1
Bečvářová Alexandra;[2002];['Demokratická regionální strana'];['1700'];['2.82'];['9'];['7'];['46'];['NO'];1
Bednaříková Olga Marie;[2002, 2006];['Str.pro otevřenou společnost', 'SOS pro Liberec'];['1636', '5179'];['1.67', '2.18'];['38', '38'];['34', '28'];['51', '55'];['NO', 'NO'];0
Bělohlávek Jiří;[2002, 2006, 2010, 2018];['Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy'];['2971', '2490', '2228', '917'];['2.80', '2.51', '2.64', '2.54'];['4', '29', '11', '22'];['4', '26', '8', '-'];['52', '56', '60', '68'];['YES', 'NO', 'NO', 'NO'];0
Bělochová Šárka;[2002, 2006];['Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.'];['3820', '4255'];['2.46', '2.63'];['27', '10'];['20', '4'];['19', '23'];['NO', 'NO'];0
Bělonožník Miloslav;[2002];['Unie pro sport a zdraví'];['1317'];['1.85'];['36'];['33'];['84'];['NO'];0
Berčo Martin;[2002];['Hn.za harm.rozvoj obcí a měst'];['344'];['1.77'];['37'];['\xa0'];['35'];['NO'];0
Bernát Pavel;[2002];['Občanská demokratická strana'];['7426'];['2.71'];['9'];['10'];['41'];['YES'];1
Bernkopf Tomáš;[2002];['Pravý Blok'];['316'];['10.99'];['2'];['\xa0'];['43'];['NO'];0
Bezouška Jiří;[2002];['Hn.za harm.rozvoj obcí a měst'];['412'];['2.12'];['13'];['\xa0'];['51'];['NO'];0
Biňovcová Mária;[2002];['Str.pro otevřenou společnost'];['1764'];['1.80'];['36'];['32'];['66'];['NO'];0
Blažek František;[2002];['Strana občanského porozumění'];['101'];['2.99'];['8'];['\xa0'];['56'];['NO'];0
Blažek Pavel;[2002];['Volba pro město'];['861'];['2.04'];['28'];['\xa0'];['45'];['NO'];0
