"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDEXPRD","TOT","PC_GDP","A","2000",1.47542214202555,
"AUS","GDEXPRD","TOT","PC_GDP","A","2002",1.64818042208768,
"AUS","GDEXPRD","TOT","PC_GDP","A","2004",1.73035558517411,
"AUS","GDEXPRD","TOT","PC_GDP","A","2006",2.00261163834327,
"AUS","GDEXPRD","TOT","PC_GDP","A","2008",2.24724445715012,
"AUS","GDEXPRD","TOT","PC_GDP","A","2010",2.19186609587633,
"AUS","GDEXPRD","TOT","PC_GDP","A","2011",2.1226875174712,
"AUS","GDEXPRD","TOT","PC_GDP","A","2013",2.10520522787023,
"AUT","GDEXPRD","TOT","PC_GDP","A","2000",1.88965446463097,
"AUT","GDEXPRD","TOT","PC_GDP","A","2001",1.99599101627074,
"AUT","GDEXPRD","TOT","PC_GDP","A","2002",2.06993289738322,
"AUT","GDEXPRD","TOT","PC_GDP","A","2003",2.18268260028399,
"AUT","GDEXPRD","TOT","PC_GDP","A","2004",2.17367986802096,
"AUT","GDEXPRD","TOT","PC_GDP","A","2005",2.38323697651371,
"AUT","GDEXPRD","TOT","PC_GDP","A","2006",2.37114771200624,
"AUT","GDEXPRD","TOT","PC_GDP","A","2007",2.43240310297711,
"AUT","GDEXPRD","TOT","PC_GDP","A","2008",2.585568429515,
"AUT","GDEXPRD","TOT","PC_GDP","A","2009",2.61357415095429,
"AUT","GDEXPRD","TOT","PC_GDP","A","2010",2.73784354820918,
"AUT","GDEXPRD","TOT","PC_GDP","A","2011",2.68163415462669,
"AUT","GDEXPRD","TOT","PC_GDP","A","2012",2.92883736019669,
"AUT","GDEXPRD","TOT","PC_GDP","A","2013",2.96747840565007,
"AUT","GDEXPRD","TOT","PC_GDP","A","2014",3.09377587634557,
"AUT","GDEXPRD","TOT","PC_GDP","A","2015",3.12230763265144,
"AUT","GDEXPRD","TOT","PC_GDP","A","2016",3.12187432283853,
"BEL","GDEXPRD","TOT","PC_GDP","A","2000",1.92235652396,
"BEL","GDEXPRD","TOT","PC_GDP","A","2001",2.02167809558746,
"BEL","GDEXPRD","TOT","PC_GDP","A","2002",1.89073026851835,
"BEL","GDEXPRD","TOT","PC_GDP","A","2003",1.83183519287991,
"BEL","GDEXPRD","TOT","PC_GDP","A","2004",1.80897837689272,
"BEL","GDEXPRD","TOT","PC_GDP","A","2005",1.78230874865562,
"BEL","GDEXPRD","TOT","PC_GDP","A","2006",1.8142645609223,
"BEL","GDEXPRD","TOT","PC_GDP","A","2007",1.84412285002306,
"BEL","GDEXPRD","TOT","PC_GDP","A","2008",1.92413247812555,
"BEL","GDEXPRD","TOT","PC_GDP","A","2009",1.9853719095937,
"BEL","GDEXPRD","TOT","PC_GDP","A","2010",2.05080238071109,
"BEL","GDEXPRD","TOT","PC_GDP","A","2011",2.15533386440732,
"BEL","GDEXPRD","TOT","PC_GDP","A","2012",2.3621935483871,
"BEL","GDEXPRD","TOT","PC_GDP","A","2013",2.43679032090899,
"BEL","GDEXPRD","TOT","PC_GDP","A","2014",2.46373575650516,
"BEL","GDEXPRD","TOT","PC_GDP","A","2015",2.45520381623754,
"CAN","GDEXPRD","TOT","PC_GDP","A","2000",1.86469275567409,
"CAN","GDEXPRD","TOT","PC_GDP","A","2001",2.0283120196755,
"CAN","GDEXPRD","TOT","PC_GDP","A","2002",1.97872633784297,
"CAN","GDEXPRD","TOT","PC_GDP","A","2003",1.97478235484658,
"CAN","GDEXPRD","TOT","PC_GDP","A","2004",2.00416473228975,
"CAN","GDEXPRD","TOT","PC_GDP","A","2005",1.97758971594069,
"CAN","GDEXPRD","TOT","PC_GDP","A","2006",1.94872427216867,
"CAN","GDEXPRD","TOT","PC_GDP","A","2007",1.90857256160027,
"CAN","GDEXPRD","TOT","PC_GDP","A","2008",1.86040124071115,
"CAN","GDEXPRD","TOT","PC_GDP","A","2009",1.92227081758238,
"CAN","GDEXPRD","TOT","PC_GDP","A","2010",1.82958011707869,
"CAN","GDEXPRD","TOT","PC_GDP","A","2011",1.7913228895527,
"CAN","GDEXPRD","TOT","PC_GDP","A","2012",1.78735226090735,
"CAN","GDEXPRD","TOT","PC_GDP","A","2013",1.70958998825316,
"CAN","GDEXPRD","TOT","PC_GDP","A","2014",1.73943342727635,
"CAN","GDEXPRD","TOT","PC_GDP","A","2015",1.70829320212084,
"CAN","GDEXPRD","TOT","PC_GDP","A","2016",1.67231882514017,
"CZE","GDEXPRD","TOT","PC_GDP","A","2000",1.11636454061527,
"CZE","GDEXPRD","TOT","PC_GDP","A","2001",1.10575690517619,
"CZE","GDEXPRD","TOT","PC_GDP","A","2002",1.10490631615391,
"CZE","GDEXPRD","TOT","PC_GDP","A","2003",1.15118598239374,
"CZE","GDEXPRD","TOT","PC_GDP","A","2004",1.14738195090363,
"CZE","GDEXPRD","TOT","PC_GDP","A","2005",1.17084325279653,
"CZE","GDEXPRD","TOT","PC_GDP","A","2006",1.23372219229906,
"CZE","GDEXPRD","TOT","PC_GDP","A","2007",1.30509525449923,
"CZE","GDEXPRD","TOT","PC_GDP","A","2008",1.24203436416189,
"CZE","GDEXPRD","TOT","PC_GDP","A","2009",1.29721731784701,
"CZE","GDEXPRD","TOT","PC_GDP","A","2010",1.33986453609588,
"CZE","GDEXPRD","TOT","PC_GDP","A","2011",1.55570685279597,
"CZE","GDEXPRD","TOT","PC_GDP","A","2012",1.78231221218588,
"CZE","GDEXPRD","TOT","PC_GDP","A","2013",1.8997304625429,
"CZE","GDEXPRD","TOT","PC_GDP","A","2014",1.97284723151735,
"CZE","GDEXPRD","TOT","PC_GDP","A","2015",1.94667144401887,
"DNK","GDEXPRD","TOT","PC_GDP","A","2001",2.32466465615672,
"DNK","GDEXPRD","TOT","PC_GDP","A","2002",2.4414456512259,
"DNK","GDEXPRD","TOT","PC_GDP","A","2003",2.51084545686761,
"DNK","GDEXPRD","TOT","PC_GDP","A","2004",2.41916299013082,
"DNK","GDEXPRD","TOT","PC_GDP","A","2005",2.39337316334843,
"DNK","GDEXPRD","TOT","PC_GDP","A","2006",2.40300289491517,
"DNK","GDEXPRD","TOT","PC_GDP","A","2007",2.51541281712861,
"DNK","GDEXPRD","TOT","PC_GDP","A","2008",2.7734572321493,
"DNK","GDEXPRD","TOT","PC_GDP","A","2009",3.05514118165565,
"DNK","GDEXPRD","TOT","PC_GDP","A","2010",2.91706563382491,
