"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ROADACCID","DEATH","1000000VEH","A","1994",180.2,
"AUS","ROADACCID","DEATH","1000000VEH","A","1995",184.24,
"AUS","ROADACCID","DEATH","1000000VEH","A","1996",172.79,
"AUS","ROADACCID","DEATH","1000000VEH","A","1997",151.48,
"AUS","ROADACCID","DEATH","1000000VEH","A","1998",145.44,
"AUS","ROADACCID","DEATH","1000000VEH","A","1999",143.78,
"AUS","ROADACCID","DEATH","1000000VEH","A","2001",139.22,
"AUS","ROADACCID","DEATH","1000000VEH","A","2002",133.75,
"AUS","ROADACCID","DEATH","1000000VEH","A","2003",123.15,
"AUS","ROADACCID","DEATH","1000000VEH","A","2004",116.97,
"AUS","ROADACCID","DEATH","1000000VEH","A","2005",116.88,
"AUS","ROADACCID","DEATH","1000000VEH","A","2006",111.29,
"AUS","ROADACCID","DEATH","1000000VEH","A","2007",108.49,
"AUS","ROADACCID","DEATH","1000000VEH","A","2008",93.94,
"AUS","ROADACCID","DEATH","1000000VEH","A","2009",95.13,
"AUS","ROADACCID","DEATH","1000000VEH","A","2010",84.24,
"AUS","ROADACCID","DEATH","1000000VEH","A","2011",78.02,
"AUS","ROADACCID","DEATH","1000000VEH","A","2012",77.65,
"AUS","ROADACCID","DEATH","1000000VEH","A","2013",69.09,
"AUS","ROADACCID","DEATH","1000000VEH","A","2014",65.22,
"AUS","ROADACCID","DEATH","1000000VEH","A","2015",66.92,
"AUT","ROADACCID","DEATH","1000000VEH","A","1994",288.42,
"AUT","ROADACCID","DEATH","1000000VEH","A","1995",253.51,
"AUT","ROADACCID","DEATH","1000000VEH","A","1996",208.97,
"AUT","ROADACCID","DEATH","1000000VEH","A","1997",219.33,
"AUT","ROADACCID","DEATH","1000000VEH","A","1998",186.56,
"AUT","ROADACCID","DEATH","1000000VEH","A","1999",203.2,
"AUT","ROADACCID","DEATH","1000000VEH","A","2000",178.4,
"AUT","ROADACCID","DEATH","1000000VEH","A","2001",171.65,
"AUT","ROADACCID","DEATH","1000000VEH","A","2002",168.19,
"AUT","ROADACCID","DEATH","1000000VEH","A","2003",171.8,
"AUT","ROADACCID","DEATH","1000000VEH","A","2004",159.46,
"AUT","ROADACCID","DEATH","1000000VEH","A","2005",137.73,
"AUT","ROADACCID","DEATH","1000000VEH","A","2006",129.27,
"AUT","ROADACCID","DEATH","1000000VEH","A","2007",120.74,
"AUT","ROADACCID","DEATH","1000000VEH","A","2008",117.13,
"AUT","ROADACCID","DEATH","1000000VEH","A","2009",107.78,
"AUT","ROADACCID","DEATH","1000000VEH","A","2010",92.29,
"AUT","ROADACCID","DEATH","1000000VEH","A","2011",85.85,
"AUT","ROADACCID","DEATH","1000000VEH","A","2012",85.71,
"AUT","ROADACCID","DEATH","1000000VEH","A","2013",72.22,
"AUT","ROADACCID","DEATH","1000000VEH","A","2014",67.35,
"AUT","ROADACCID","DEATH","1000000VEH","A","2015",74.08,
"BEL","ROADACCID","DEATH","1000000VEH","A","1994",335.32,
"BEL","ROADACCID","DEATH","1000000VEH","A","1995",293.03,
"BEL","ROADACCID","DEATH","1000000VEH","A","1996",259.22,
"BEL","ROADACCID","DEATH","1000000VEH","A","1997",255.38,
"BEL","ROADACCID","DEATH","1000000VEH","A","1998",275.03,
"BEL","ROADACCID","DEATH","1000000VEH","A","1999",249.64,
"BEL","ROADACCID","DEATH","1000000VEH","A","2000",256.32,
"BEL","ROADACCID","DEATH","1000000VEH","A","2001",254.58,
"BEL","ROADACCID","DEATH","1000000VEH","A","2002",228.78,
"BEL","ROADACCID","DEATH","1000000VEH","A","2003",203.34,
"BEL","ROADACCID","DEATH","1000000VEH","A","2004",191.85,
"BEL","ROADACCID","DEATH","1000000VEH","A","2005",176.81,
"BEL","ROADACCID","DEATH","1000000VEH","A","2006",171.01,
"BEL","ROADACCID","DEATH","1000000VEH","A","2007",167.71,
"BEL","ROADACCID","DEATH","1000000VEH","A","2008",145.63,
"BEL","ROADACCID","DEATH","1000000VEH","A","2009",143.42,
"BEL","ROADACCID","DEATH","1000000VEH","A","2010",125.73,
"BEL","ROADACCID","DEATH","1000000VEH","A","2011",125.62,
"BEL","ROADACCID","DEATH","1000000VEH","A","2012",111.26,
"BEL","ROADACCID","DEATH","1000000VEH","A","2013",103.52,
"BEL","ROADACCID","DEATH","1000000VEH","A","2014",102.74,
"BEL","ROADACCID","DEATH","1000000VEH","A","2015",102.02,
"CAN","ROADACCID","DEATH","1000000VEH","A","1994",190.34,
"CAN","ROADACCID","DEATH","1000000VEH","A","1995",194.35,
"CAN","ROADACCID","DEATH","1000000VEH","A","1996",181.58,
"CAN","ROADACCID","DEATH","1000000VEH","A","1997",175.01,
"CAN","ROADACCID","DEATH","1000000VEH","A","1998",162.27,
"CAN","ROADACCID","DEATH","1000000VEH","A","1999",169.96,
"CAN","ROADACCID","DEATH","1000000VEH","A","2000",162.4,
"CAN","ROADACCID","DEATH","1000000VEH","A","2001",152.36,
"CAN","ROADACCID","DEATH","1000000VEH","A","2002",156.9,
"CAN","ROADACCID","DEATH","1000000VEH","A","2003",147.17,
"CAN","ROADACCID","DEATH","1000000VEH","A","2004",143.34,
"CAN","ROADACCID","DEATH","1000000VEH","A","2005",151.49,
"CAN","ROADACCID","DEATH","1000000VEH","A","2006",145.46,
"CAN","ROADACCID","DEATH","1000000VEH","A","2007",133.69,
"CAN","ROADACCID","DEATH","1000000VEH","A","2008",115.28,
"CAN","ROADACCID","DEATH","1000000VEH","A","2009",103.61,
"CAN","ROADACCID","DEATH","1000000VEH","A","2010",102.44,
"CAN","ROADACCID","DEATH","1000000VEH","A","2011",90.93,
"CAN","ROADACCID","DEATH","1000000VEH","A","2012",92.95,
"CAN","ROADACCID","DEATH","1000000VEH","A","2013",84.8,
"CAN","ROADACCID","DEATH","1000000VEH","A","2014",77.92,
"CZE","ROADACCID","DEATH","1000000VEH","A","1994",375.37,
"CZE","ROADACCID","DEATH","1000000VEH","A","1995",367.17,
"CZE","ROADACCID","DEATH","1000000VEH","A","1996",351.02,
"CZE","ROADACCID","DEATH","1000000VEH","A","1997",344.4,
"CZE","ROADACCID","DEATH","1000000VEH","A","1998",280.3,
"CZE","ROADACCID","DEATH","1000000VEH","A","1999",293.88,
"CZE","ROADACCID","DEATH","1000000VEH","A","2000",320.53,
"CZE","ROADACCID","DEATH","1000000VEH","A","2001",290.95,
"CZE","ROADACCID","DEATH","1000000VEH","A","2002",304.47,
"CZE","ROADACCID","DEATH","1000000VEH","A","2003",298.35,
"CZE","ROADACCID","DEATH","1000000VEH","A","2004",281.29,
