"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2000",37.813,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2001",41.283,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2002",39.623,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2003",39.778,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2004",40.16,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2005",39.635,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2006",37.277,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2007",36.563,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2008",37.451,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2009",37.303,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2010",38.386,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2011",39.253,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2012",39.082,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2013",38.999,
"AUS","TAXINCOME","TOT","PC_TOT_TAX","A","2014",41.041,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2000",22.151,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2001",22.721,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2002",22.729,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2003",22.862,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2004",22.549,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2005",21.98,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2006",22.316,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2007",22.488,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2008",23.173,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2009",22.306,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2010",22.525,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2011",22.547,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2012",22.921,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2013",22.943,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2014",23.628,
"AUT","TAXINCOME","TOT","PC_TOT_TAX","A","2015",24.283,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2000",31.364,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2001",32.097,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2002",31.877,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2003",31.486,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2004",30.952,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2005",29.039,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2006",28.02,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2007",27.821,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2008",28.461,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2009",28.419,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2010",28.249,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2011",28.17,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2012",27.842,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2013",28.537,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2014",28.625,
"BEL","TAXINCOME","TOT","PC_TOT_TAX","A","2015",28.131,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2000",36.812,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2001",37.406,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2002",35.124,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2003",34.322,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2004",34.633,
"CAN","TAXINCOME","TOT","PC_TOT_TAX","A","2005",35.495,
