"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2000",2.668,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2001",2.548,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2002",2.673,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2003",2.831,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2004",2.631,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2005",2.573,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2006",2.696,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2007",2.643,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2008",2.218,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2009",2.46,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2010",2.376,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2011",2.252,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2012",2.362,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2013",2.583,
"AUS","TAXPROPERTY","TOT","PC_GDP","A","2014",2.821,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2000",0.566,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2001",0.572,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2002",0.533,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2003",0.547,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2004",0.542,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2005",0.544,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2006",0.567,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2007",0.557,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2008",0.526,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2009",0.528,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2010",0.528,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2011",0.511,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2012",0.557,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2013",0.726,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2014",0.602,
"AUT","TAXPROPERTY","TOT","PC_GDP","A","2015",0.579,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2000",2.045,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2001",1.972,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2002",1.959,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2003",2.034,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2004",2.266,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2005",3.008,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2006",3.129,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2007",3.061,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2008",3.04,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2009",2.938,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2010",3.082,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2011",3.149,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2012",3.264,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2013",3.516,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2014",3.561,
"BEL","TAXPROPERTY","TOT","PC_GDP","A","2015",3.516,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2000",3.311,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2001",3.67,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2002",3.524,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2003",3.518,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2004",3.488,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2005",3.456,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2006",3.434,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2007",3.415,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2008",3.65,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2009",3.887,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2010",3.781,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2011",3.656,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2012",3.683,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2013",3.696,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2014",3.666,
"CAN","TAXPROPERTY","TOT","PC_GDP","A","2015",3.767,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2000",0.459,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2001",0.484,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2002",0.482,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2003",0.482,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2004",0.381,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2005",0.4,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2006",0.401,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2007",0.404,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2008",0.379,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2009",0.359,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2010",0.414,
"CZE","TAXPROPERTY","TOT","PC_GDP","A","2011",0.507,
