"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","EDUEXP","TRY","USD_STUDENT","A","2014",16933.401,
"CZE","EDUEXP","TRY","USD_STUDENT","A","2014",10520.925,
"FRA","EDUEXP","TRY","USD_STUDENT","A","2014",16422.299,
"HUN","EDUEXP","TRY","USD_STUDENT","A","2014",8688.093,
"CHL","EDUEXP","TRY","USD_STUDENT","A","2014",7836.262,
"AUS","EDUEXP","TRY","USD_STUDENT","A","2014",18037.512,
"CAN","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"FIN","EDUEXP","TRY","USD_STUDENT","A","2014",17892.541,
"CHE","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"USA","EDUEXP","TRY","USD_STUDENT","A","2014",29328.235,
"ARG","EDUEXP","TRY","USD_STUDENT","A","2014",5085.053,
"MEX","EDUEXP","TRY","USD_STUDENT","A","2014",8948.92,
"NOR","EDUEXP","TRY","USD_STUDENT","A","2014",20961.632,
"SVK","EDUEXP","TRY","USD_STUDENT","A","2014",11290.387,
"BRA","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"ISR","EDUEXP","TRY","USD_STUDENT","A","2014",12989.141,
"RUS","EDUEXP","TRY","USD_STUDENT","A","2014",8808.346,
"DNK","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"DEU","EDUEXP","TRY","USD_STUDENT","A","2014",17179.698,
"ISL","EDUEXP","TRY","USD_STUDENT","A","2014",11434.985,
"JPN","EDUEXP","TRY","USD_STUDENT","A","2014",18022.211,
"BEL","EDUEXP","TRY","USD_STUDENT","A","2014",16599.445,
"PRT","EDUEXP","TRY","USD_STUDENT","A","2014",11812.792,
"SWE","EDUEXP","TRY","USD_STUDENT","A","2014",24071.784,
"GBR","EDUEXP","TRY","USD_STUDENT","A","2014",24541.552,
"ITA","EDUEXP","TRY","USD_STUDENT","A","2014",11509.686,
"LUX","EDUEXP","TRY","USD_STUDENT","A","2014",46526.14,
"NZL","EDUEXP","TRY","USD_STUDENT","A","2014",15087.561,
"EST","EDUEXP","TRY","USD_STUDENT","A","2014",12375.265,
"IDN","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"SVN","EDUEXP","TRY","USD_STUDENT","A","2014",12067.298,
"ZAF","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"GRC","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"IRL","EDUEXP","TRY","USD_STUDENT","A","2014",14130.998,
"KOR","EDUEXP","TRY","USD_STUDENT","A","2014",9570.4,
"NLD","EDUEXP","TRY","USD_STUDENT","A","2014",19158.968,
"IND","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"POL","EDUEXP","TRY","USD_STUDENT","A","2014",9707.663,
"ESP","EDUEXP","TRY","USD_STUDENT","A","2014",12488.88,
"TUR","EDUEXP","TRY","USD_STUDENT","A","2014",8927.184,
"COL","EDUEXP","TRY","USD_STUDENT","A","2014",3887.275,
"LVA","EDUEXP","TRY","USD_STUDENT","A","2014",8961.831,
"CRI","EDUEXP","TRY","USD_STUDENT","A","2014",,"M"
"LTU","EDUEXP","TRY","USD_STUDENT","A","2014",10021.237,
