"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","Q","2017-Q1",5.805801,
"AUT","UNEMP","TOT","PC_LF","Q","2017-Q1",5.733345,
"BEL","UNEMP","TOT","PC_LF","Q","2017-Q1",7.591679,
"CAN","UNEMP","TOT","PC_LF","Q","2017-Q1",6.7,
"CZE","UNEMP","TOT","PC_LF","Q","2017-Q1",3.289252,
"DNK","UNEMP","TOT","PC_LF","Q","2017-Q1",6.047936,
"FIN","UNEMP","TOT","PC_LF","Q","2017-Q1",8.807858,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q1",9.541079,
"DEU","UNEMP","TOT","PC_LF","Q","2017-Q1",3.951744,
"GRC","UNEMP","TOT","PC_LF","Q","2017-Q1",22.39541,
"HUN","UNEMP","TOT","PC_LF","Q","2017-Q1",4.312057,
"ISL","UNEMP","TOT","PC_LF","Q","2017-Q1",2.930909,
"IRL","UNEMP","TOT","PC_LF","Q","2017-Q1",6.759297,
"ITA","UNEMP","TOT","PC_LF","Q","2017-Q1",11.45787,
"JPN","UNEMP","TOT","PC_LF","Q","2017-Q1",2.866667,
"KOR","UNEMP","TOT","PC_LF","Q","2017-Q1",3.766667,
"LUX","UNEMP","TOT","PC_LF","Q","2017-Q1",6.107223,
"MEX","UNEMP","TOT","PC_LF","Q","2017-Q1",3.500824,
"NLD","UNEMP","TOT","PC_LF","Q","2017-Q1",5.279664,
"NZL","UNEMP","TOT","PC_LF","Q","2017-Q1",4.9,
"NOR","UNEMP","TOT","PC_LF","Q","2017-Q1",4.37619,
"POL","UNEMP","TOT","PC_LF","Q","2017-Q1",5.204061,
"PRT","UNEMP","TOT","PC_LF","Q","2017-Q1",9.694746,
"SVK","UNEMP","TOT","PC_LF","Q","2017-Q1",8.509421,
"ESP","UNEMP","TOT","PC_LF","Q","2017-Q1",18.15954,
"SWE","UNEMP","TOT","PC_LF","Q","2017-Q1",6.706393,
"CHE","UNEMP","TOT","PC_LF","Q","2017-Q1",5.268037,"E"
"TUR","UNEMP","TOT","PC_LF","Q","2017-Q1",11.56595,
"GBR","UNEMP","TOT","PC_LF","Q","2017-Q1",4.522727,
"USA","UNEMP","TOT","PC_LF","Q","2017-Q1",4.666667,
"CHL","UNEMP","TOT","PC_LF","Q","2017-Q1",6.641119,
"EST","UNEMP","TOT","PC_LF","Q","2017-Q1",5.457908,
"ISR","UNEMP","TOT","PC_LF","Q","2017-Q1",4.282761,
"RUS","UNEMP","TOT","PC_LF","Q","2017-Q1",5.197507,
"SVN","UNEMP","TOT","PC_LF","Q","2017-Q1",7.196409,
"ZAF","UNEMP","TOT","PC_LF","Q","2017-Q1",27.15903,
"EU28","UNEMP","TOT","PC_LF","Q","2017-Q1",7.949669,
"OECD","UNEMP","TOT","PC_LF","Q","2017-Q1",6.03353,"E"
"EA19","UNEMP","TOT","PC_LF","Q","2017-Q1",9.3786,
"COL","UNEMP","TOT","PC_LF","Q","2017-Q1",9.386544,
"LVA","UNEMP","TOT","PC_LF","Q","2017-Q1",9.253458,
