"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"AUT","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,"E"
"BEL","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"CAN","CHILDVACCIN","DTP","PC_CHILD","A","2015",91,
"CZE","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,"E"
"DNK","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"FIN","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"FRA","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,"E"
"DEU","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,"E"
"GRC","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"HUN","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"ISL","CHILDVACCIN","DTP","PC_CHILD","A","2015",92,
"IRL","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"ITA","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"JPN","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"KOR","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,
"LUX","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"MEX","CHILDVACCIN","DTP","PC_CHILD","A","2015",87,
"NLD","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"NZL","CHILDVACCIN","DTP","PC_CHILD","A","2015",92,
"NOR","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"POL","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,
"PRT","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,
"SVK","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"ESP","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"SWE","CHILDVACCIN","DTP","PC_CHILD","A","2015",98,
"CHE","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"TUR","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"GBR","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"USA","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"BRA","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"CHL","CHILDVACCIN","DTP","PC_CHILD","A","2015",96,
"CHN","CHILDVACCIN","DTP","PC_CHILD","A","2015",99,
"EST","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"IND","CHILDVACCIN","DTP","PC_CHILD","A","2015",87,
"IDN","CHILDVACCIN","DTP","PC_CHILD","A","2015",84,
"ISR","CHILDVACCIN","DTP","PC_CHILD","A","2015",94,"E"
"RUS","CHILDVACCIN","DTP","PC_CHILD","A","2015",97,
"SVN","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"ZAF","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
"COL","CHILDVACCIN","DTP","PC_CHILD","A","2015",91,
"CRI","CHILDVACCIN","DTP","PC_CHILD","A","2015",92,
"LVA","CHILDVACCIN","DTP","PC_CHILD","A","2015",95,
"LTU","CHILDVACCIN","DTP","PC_CHILD","A","2015",93,
