"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","2016",52063,
"AUT","AVWAGE","TOT","USD","A","2016",48295,
"BEL","AVWAGE","TOT","USD","A","2016",49587,
"CAN","AVWAGE","TOT","USD","A","2016",48403,
"CZE","AVWAGE","TOT","USD","A","2016",23722,
"DNK","AVWAGE","TOT","USD","A","2016",52580,
"FIN","AVWAGE","TOT","USD","A","2016",42127,
"FRA","AVWAGE","TOT","USD","A","2016",42992,
"DEU","AVWAGE","TOT","USD","A","2016",46389,
"GRC","AVWAGE","TOT","USD","A","2016",25124,
"HUN","AVWAGE","TOT","USD","A","2016",21711,
"IRL","AVWAGE","TOT","USD","A","2016",51681,
"ITA","AVWAGE","TOT","USD","A","2016",35397,
"JPN","AVWAGE","TOT","USD","A","2016",39113,
"KOR","AVWAGE","TOT","USD","A","2016",32399,
"LUX","AVWAGE","TOT","USD","A","2016",62636,
"MEX","AVWAGE","TOT","USD","A","2016",15311,
"NLD","AVWAGE","TOT","USD","A","2016",52833,
"NOR","AVWAGE","TOT","USD","A","2016",53643,
"POL","AVWAGE","TOT","USD","A","2016",25921,
"PRT","AVWAGE","TOT","USD","A","2016",24529,
"SVK","AVWAGE","TOT","USD","A","2016",23508,
"ESP","AVWAGE","TOT","USD","A","2016",37333,
"SWE","AVWAGE","TOT","USD","A","2016",42816,
"CHE","AVWAGE","TOT","USD","A","2016",60124,
"GBR","AVWAGE","TOT","USD","A","2016",42835,
"USA","AVWAGE","TOT","USD","A","2016",60154,
"EST","AVWAGE","TOT","USD","A","2016",23621,
"ISR","AVWAGE","TOT","USD","A","2016",34023,
"SVN","AVWAGE","TOT","USD","A","2016",34965,
"ISL","AVWAGE","TOT","USD","A","2016",55984,
"NZL","AVWAGE","TOT","USD","A","2016",39397,
"CHL","AVWAGE","TOT","USD","A","2016",28434,
"LVA","AVWAGE","TOT","USD","A","2016",22389,
"LTU","AVWAGE","TOT","USD","A","2016",22949,
