"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POVERTY","TOT","RT","A","2014",0.128,
"AUT","POVERTY","TOT","RT","A","2014",0.09,
"BEL","POVERTY","TOT","RT","A","2014",0.091,
"CAN","POVERTY","TOT","RT","A","2014",0.126,
"CZE","POVERTY","TOT","RT","A","2014",0.059,
"DNK","POVERTY","TOT","RT","A","2014",0.055,
"FIN","POVERTY","TOT","RT","A","2014",0.068,
"FRA","POVERTY","TOT","RT","A","2014",0.082,
"DEU","POVERTY","TOT","RT","A","2014",0.095,
"GRC","POVERTY","TOT","RT","A","2014",0.148,
"HUN","POVERTY","TOT","RT","A","2014",0.101,
"ISL","POVERTY","TOT","RT","A","2014",0.065,
"IRL","POVERTY","TOT","RT","A","2014",0.092,
"ITA","POVERTY","TOT","RT","A","2014",0.137,
"KOR","POVERTY","TOT","RT","A","2014",0.144,
"LUX","POVERTY","TOT","RT","A","2014",0.081,
"MEX","POVERTY","TOT","RT","A","2014",0.167,
"NLD","POVERTY","TOT","RT","A","2014",0.077,"P"
"NZL","POVERTY","TOT","RT","A","2014",0.109,
"NOR","POVERTY","TOT","RT","A","2014",0.081,
"POL","POVERTY","TOT","RT","A","2014",0.104,
"PRT","POVERTY","TOT","RT","A","2014",0.135,
"SVK","POVERTY","TOT","RT","A","2014",0.087,
"ESP","POVERTY","TOT","RT","A","2014",0.153,
"SWE","POVERTY","TOT","RT","A","2014",0.09,
"CHE","POVERTY","TOT","RT","A","2014",0.099,
"TUR","POVERTY","TOT","RT","A","2014",0.173,
"GBR","POVERTY","TOT","RT","A","2014",0.105,
"USA","POVERTY","TOT","RT","A","2014",0.175,
"EST","POVERTY","TOT","RT","A","2014",0.155,
"ISR","POVERTY","TOT","RT","A","2014",0.186,
"SVN","POVERTY","TOT","RT","A","2014",0.094,
"LVA","POVERTY","TOT","RT","A","2014",0.162,
"LTU","POVERTY","TOT","RT","A","2014",0.157,
"CRI","POVERTY","TOT","RT","A","2014",0.219,
