"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",6.16,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",5.87,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",6.04,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",5.98,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",5.79,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",5.69,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",5.63,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",5.62,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",5.57,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",4.39,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",5.5,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",5.5,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2012",5.56,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2013",6.23,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2014",6.55,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2015",6.54,
"AUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2016",6.46,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2000",22.98,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2001",22.03,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2002",21.27,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2003",18.77,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2004",19.75,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2005",20.95,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2006",21.92,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2007",23.9,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2008",25.02,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2009",27.61,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2010",26.93,
"AUT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2011",26.25,
