"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2000",8.736,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2001",8.789,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2002",9.065,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2003",8.953,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2004",8.713,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2005",8.411,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2006",8.109,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2007",8.004,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2008",7.518,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2009",7.64,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2010",7.402,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2011",7.173,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2012",7.733,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2013",7.895,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2014",7.477,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2000",12.067,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2001",12.063,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2002",12.201,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2003",12.088,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2004",11.969,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2005",11.751,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2006",11.334,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2007",11.223,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2008",11.259,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2009",11.562,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2010",11.478,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2011",11.626,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2012",11.751,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2013",11.706,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2014",11.697,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2015",11.673,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2000",10.892,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2001",10.488,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2002",10.58,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2003",10.516,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2004",10.713,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2005",10.804,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2006",10.734,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2007",10.675,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2008",10.561,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2009",10.571,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2010",10.79,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2011",10.691,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2012",11.053,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2013",10.88,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2014",10.756,
"BEL","TAXGOODSERV","TOT","PC_GDP","A","2015",10.657,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2000",8.418,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2001",8.441,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2002",8.536,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2003",8.542,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2004",8.316,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2005",8.114,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2006",7.905,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2007",7.697,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2008",7.131,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2009",7.315,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2010",7.342,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2011",7.249,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2012",7.245,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2013",7.114,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2014",7.175,
"CAN","TAXGOODSERV","TOT","PC_GDP","A","2015",7.415,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2000",10.24,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2001",9.952,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2002",9.94,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2003",10.178,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2004",10.839,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2005",10.772,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2006",10.267,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2007",10.257,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2008",10.56,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2009",10.759,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2010",10.821,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2011",11.22,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2012",11.415,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2013",11.673,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2014",10.891,
"CZE","TAXGOODSERV","TOT","PC_GDP","A","2015",11.26,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2000",15.515,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2001",15.487,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2002",15.689,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2003",15.5,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2004",15.682,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2005",15.928,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2006",15.835,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2007",16.208,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2008",15.222,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2009",15.167,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2010",14.988,
"DNK","TAXGOODSERV","TOT","PC_GDP","A","2011",15.08,
