"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",59424.688523,
"AUT","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",52129.920762,
"CAN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",65621.017537,
"CZE","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",19403.170037,
"DNK","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",60956.337028,
"FIN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",47252.275505,
"FRA","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",37930.318624,
"DEU","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",78578.612753,
"GRC","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",25076.814851,
"HUN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",21129.745553,
"IRL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",58040.317204,
"ITA","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",37807.110796,
"JPN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",50635.940065,
"KOR","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",48946.951942,
"LUX","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",113135.62426,
"MEX","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",53967.733129,
"NLD","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",69268.14173,
"NZL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",46272.747583,
"NOR","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",52082.82122,
"POL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",25374.845585,
"PRT","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",39128.608618,
"SVK","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",17930.077458,
"ESP","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",48336.476597,
"SWE","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",43270.683729,
"TUR","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",30408,
"USA","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",61327.48,
"CHL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",28275.576821,
"COL","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",32686.029645,
"CRI","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",45441.903077,
"ISR","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",27036.280754,
"LVA","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",8871.6619052,
"LTU","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",18368.510783,
"SVN","TEACHERSALARY","UPPSRY_15YREXP","USD","A","2015",38953.918537,
