Arrival no,Arrival time (sec),Base station ,Call duration (sec),velocity (km/h)
1,0.000,18,76.134,125.934
2,0.068,7,159.056,95.511
3,0.559,6,179.465,127.757
4,0.625,14,163.108,134.311
5,1.345,2,95.054,112.272
6,1.588,4,12.987,121.186
7,2.729,11,29.657,109.458
8,2.978,4,109.602,139.454
9,3.898,18,362.212,117.244
10,9.230,5,175.097,129.638
11,10.600,17,149.801,130.650
12,10.750,12,66.706,123.321
13,11.935,8,93.672,112.938
14,14.193,5,59.256,103.517
15,15.864,13,312.653,117.068
16,16.732,20,31.356,119.633
17,16.864,8,77.598,111.673
18,17.765,3,125.432,118.754
19,19.420,20,19.102,115.896
20,24.137,5,62.640,125.770
21,24.606,13,65.316,110.853
22,24.974,12,812.572,95.320
23,28.926,15,193.754,128.990
24,29.579,13,139.124,107.173
25,31.438,6,40.392,108.416
26,33.068,20,77.044,119.839
27,33.977,1,173.531,113.482
28,35.230,12,24.206,108.432
29,35.389,4,55.559,124.216
30,36.167,15,102.829,110.795
31,36.959,17,20.811,109.784
32,38.262,4,179.568,126.385
33,38.779,7,393.661,113.374
34,39.568,3,249.854,127.198
35,41.065,10,75.075,122.366
36,41.793,13,119.588,118.711
37,43.606,4,93.457,125.856
38,47.856,14,135.639,118.174
39,48.103,2,52.515,123.758
40,51.293,16,175.748,123.372
41,51.737,14,284.805,116.629
42,52.886,5,141.730,137.469
43,52.889,3,29.134,117.988
44,53.695,16,119.284,127.937
45,54.765,5,13.560,135.669
46,55.984,7,131.858,116.272
47,58.159,2,106.422,119.148
48,60.182,6,57.210,119.585
49,61.804,10,105.385,136.704
50,62.000,3,178.014,124.011
51,63.931,3,159.257,101.347
52,63.974,4,19.217,129.558
53,65.645,6,11.420,123.546
54,67.022,4,322.320,115.943
55,68.499,3,124.468,122.108
56,68.997,14,75.406,125.299
57,69.679,6,119.703,121.301
58,70.065,17,42.353,105.282
59,70.379,20,216.004,123.792
60,72.528,17,18.797,115.783
61,72.686,10,138.815,134.899
62,72.834,20,89.272,110.840
63,72.922,3,48.276,122.385
64,74.735,18,185.203,112.175
65,75.772,20,215.571,105.135
66,77.694,4,95.157,121.329
67,79.116,19,257.192,112.780
68,80.014,11,32.573,104.585
69,81.365,4,502.051,130.980
70,81.638,13,50.823,128.766
71,83.258,5,11.200,112.876
72,83.833,14,127.437,133.403
73,84.442,14,63.543,112.261
74,85.498,11,16.508,107.011
75,85.962,19,10.655,119.652
76,91.507,18,23.863,120.460
77,92.539,11,23.855,126.058
78,92.554,2,175.612,117.335
79,92.586,14,36.778,131.106
80,93.563,10,96.068,130.481
81,98.040,2,76.239,131.538
82,100.857,7,62.483,117.769
83,100.952,19,45.595,125.234
84,106.615,8,399.476,119.142
85,110.530,5,229.095,127.715
86,111.480,15,33.020,112.584
87,112.846,15,220.128,130.242
88,116.035,5,114.982,98.048
89,116.992,14,24.482,126.098
90,119.051,12,145.587,116.645
91,121.350,15,137.342,133.191
92,122.211,13,157.729,130.618
93,122.342,17,20.947,132.516
94,123.103,15,113.828,110.495
95,125.321,1,21.819,119.479
96,125.494,1,389.902,113.821
97,127.249,14,158.414,125.884
98,129.921,10,225.330,130.314
99,129.955,2,43.228,112.247
100,131.799,10,109.861,110.479
101,134.520,4,37.086,117.039
102,134.736,3,118.851,121.709
103,137.667,2,43.502,133.440
104,137.770,19,184.864,116.448
105,138.583,15,119.565,127.281
106,141.003,4,46.795,133.406
107,141.683,19,18.609,105.560
108,143.180,13,356.034,112.751
109,144.613,6,13.166,111.343
110,145.829,12,116.639,103.754
111,146.155,14,53.715,105.440
112,147.684,5,156.586,130.722
113,147.857,7,261.204,102.651
114,148.944,8,126.202,112.268
115,159.793,17,96.077,115.672
116,160.223,2,101.354,117.741
117,161.412,20,210.353,113.726
118,168.839,17,36.171,114.208
119,168.886,4,85.513,122.959
120,169.450,3,109.252,127.722
121,169.602,18,195.769,109.782
122,171.834,16,95.334,118.510
123,172.651,12,29.482,123.559
124,173.130,6,307.247,112.338
125,174.154,20,836.610,114.964
126,174.597,8,58.095,122.284
127,175.302,7,26.679,112.173
128,175.318,12,39.182,108.959
129,175.459,13,67.781,108.844
130,176.365,15,22.531,120.599
131,177.613,8,188.052,111.238
132,179.326,6,65.484,114.152
133,180.732,14,166.279,117.923
134,182.577,20,15.798,116.817
135,183.866,13,25.348,101.427
136,184.026,2,93.108,129.480
137,186.105,3,28.463,118.273
138,187.538,13,16.576,114.136
139,190.001,6,39.463,121.628
140,190.819,7,63.696,124.307
141,192.088,7,93.981,110.729
142,192.120,11,69.443,108.694
143,192.748,5,41.418,127.516
144,192.791,7,32.831,126.893
145,194.414,18,50.873,133.942
146,195.676,16,83.828,142.555
147,196.202,16,207.340,114.657
148,198.782,10,133.725,120.461
149,199.140,7,90.379,112.844
150,200.802,14,228.150,104.755
151,202.771,17,23.005,131.466
152,204.373,9,11.339,116.172
153,204.924,14,35.839,116.811
154,206.212,6,64.999,114.708
155,206.273,9,230.079,130.705
156,208.631,17,440.102,126.307
157,209.802,9,14.761,103.158
158,210.356,19,172.594,121.156
159,211.478,7,105.851,117.403
160,212.254,14,343.811,117.058
161,212.403,7,122.459,126.151
162,212.642,3,86.466,117.243
163,214.055,17,81.411,117.037
164,215.844,5,72.517,122.653
165,217.774,9,254.467,113.024
166,219.759,1,56.434,123.237
167,226.897,15,112.269,114.265
168,227.205,9,12.050,117.381
169,227.279,18,120.082,114.380
170,228.316,7,137.295,120.327
171,229.787,14,133.725,111.904
172,230.758,16,118.011,118.703
173,232.340,11,59.167,123.580
174,233.587,9,217.836,114.412
175,234.949,8,312.855,120.633
176,236.704,13,73.201,106.840
177,241.277,19,57.364,119.591
178,246.971,5,298.252,123.555
179,246.988,15,44.804,120.204
180,250.573,10,73.817,125.076
181,252.865,8,13.031,125.654
182,253.991,1,100.881,108.020
183,256.894,4,142.497,108.246
184,257.179,18,14.619,116.107
185,258.854,3,57.784,125.461
186,263.896,2,68.237,127.334
187,263.963,8,461.033,112.510
188,264.581,6,160.419,132.404
189,267.205,7,47.381,122.147
190,267.433,11,58.134,140.013
191,269.693,7,75.893,113.357
192,269.786,3,30.256,124.929
193,275.583,7,330.570,112.451
194,276.702,2,23.732,130.006
195,278.046,11,32.865,121.509
196,279.295,1,102.615,115.390
197,279.428,12,145.856,120.776
198,279.764,5,141.546,119.394
199,282.605,9,64.346,141.137
200,283.889,16,213.898,138.530
201,284.167,1,110.198,102.291
202,286.456,9,33.503,110.961
203,286.575,13,122.951,119.922
204,286.992,13,74.567,127.155
205,293.962,1,73.726,121.854
206,294.209,10,14.552,127.707
207,295.731,6,203.600,110.743
208,299.571,11,89.727,102.762
209,299.982,13,79.177,128.731
210,301.314,14,40.449,123.261
211,303.441,18,226.960,106.373
212,306.875,8,133.280,130.579
213,307.192,15,106.913,127.443
214,307.197,11,34.655,124.029
215,309.365,9,280.567,100.779
216,309.688,2,240.661,130.714
217,310.912,15,80.166,114.036
218,311.097,2,365.016,118.661
219,312.014,4,66.020,122.344
220,315.041,10,106.699,106.528
221,317.710,19,227.191,122.818
222,318.412,2,403.368,126.818
223,318.651,15,39.106,129.324
224,321.137,20,224.678,120.198
225,323.149,14,34.320,118.117
226,323.364,18,372.704,122.771
227,323.867,17,78.879,118.660
228,324.217,1,12.907,121.402
229,325.611,5,67.666,124.194
230,326.199,6,70.188,138.929
231,326.936,18,23.748,112.878
232,329.987,7,102.884,123.537
233,331.602,3,228.008,120.708
234,332.006,15,19.559,111.550
235,332.122,2,139.678,103.507
236,332.685,17,219.774,112.081
237,333.058,15,466.375,109.875
238,334.518,18,58.821,130.231
239,334.866,9,109.303,102.201
240,335.102,3,107.178,104.463
241,335.643,8,38.425,128.552
242,336.526,2,15.243,124.683
243,337.641,12,18.332,113.855
244,338.247,17,150.486,121.884
245,338.343,2,226.735,126.016
246,342.280,19,181.535,121.781
247,342.326,18,36.549,130.036
248,343.902,5,51.157,115.215
249,344.859,17,21.674,138.820
250,346.224,1,219.346,124.002
251,347.331,11,118.716,127.181
252,347.656,10,137.175,116.807
253,351.590,13,19.027,117.635
254,351.780,9,11.914,123.955
255,352.410,15,246.032,128.109
256,353.673,20,66.769,123.615
257,354.582,14,93.404,125.712
258,357.163,12,183.684,132.198
259,357.171,8,142.606,110.978
260,359.548,1,15.047,110.682
261,361.601,1,188.246,112.086
262,361.969,13,58.663,122.795
263,362.122,13,98.858,125.776
264,362.127,8,117.748,115.977
265,362.859,1,24.403,109.864
266,366.078,13,179.289,120.980
267,366.096,9,67.044,118.351
268,366.504,8,30.823,101.706
269,367.493,15,62.208,112.277
270,367.913,3,107.011,132.150
271,371.941,12,79.452,104.600
272,372.027,19,22.564,112.342
273,374.483,17,267.047,112.325
274,375.036,10,58.477,118.968
275,376.798,15,97.916,116.194
276,377.671,12,89.452,124.615
277,379.429,1,30.943,126.320
278,379.795,9,33.866,115.484
279,381.411,5,197.501,108.147
280,381.836,16,47.827,132.166
281,382.659,7,263.864,121.741
282,387.415,13,153.498,135.433
283,388.130,11,59.082,135.366
284,388.284,9,80.154,131.362
285,388.857,14,36.350,106.667
286,391.013,12,109.099,121.603
287,393.615,6,124.217,110.582
288,394.154,18,179.116,116.111
289,394.369,2,227.285,111.058
290,394.971,17,18.674,114.361
291,395.769,12,63.904,132.563
292,396.483,7,67.022,121.143
293,397.031,10,36.425,129.442
294,400.570,3,42.053,114.349
295,400.843,17,393.166,123.482
296,401.928,14,43.422,128.163
297,404.799,8,15.884,117.365
298,407.658,10,237.153,114.345
299,408.213,7,61.131,113.627
300,408.578,5,202.027,128.940
301,409.259,13,208.341,138.605
302,410.595,1,102.565,130.720
303,411.013,19,143.777,127.150
304,411.573,7,74.370,114.107
305,411.828,2,555.889,124.767
306,412.752,19,108.979,100.649
307,414.646,2,192.106,114.545
308,414.877,6,113.944,122.272
309,417.545,16,114.981,138.628
310,418.877,20,119.654,121.398
311,418.995,4,169.266,123.692
312,419.733,7,84.611,125.967
313,420.430,19,41.036,110.129
314,421.427,17,72.753,124.651
315,425.187,7,238.088,115.936
316,425.471,6,17.176,125.130
317,427.916,20,133.266,114.619
318,428.233,8,20.060,121.625
319,429.376,12,89.527,108.744
320,432.781,1,15.003,124.708
321,436.999,12,58.650,120.798
322,438.787,18,106.918,125.287
323,439.335,9,65.554,120.007
324,440.491,14,27.272,109.333
325,441.733,10,12.064,115.510
326,442.475,2,104.346,119.664
327,443.604,5,27.909,112.926
328,444.132,17,55.155,116.097
329,445.101,12,212.337,119.798
330,448.936,6,163.514,125.526
331,448.945,3,92.868,131.147
332,452.217,20,11.668,106.511
333,453.899,18,100.174,114.296
334,455.899,15,202.451,128.789
335,463.705,19,276.650,132.957
336,465.203,3,118.073,132.216
337,469.386,13,106.094,115.704
338,469.399,12,160.936,123.841
339,469.720,18,36.232,114.609
340,471.221,13,29.733,105.458
341,471.737,20,183.209,131.160
342,472.522,11,183.051,118.657
343,473.135,16,17.495,125.917
344,473.305,9,196.260,117.721
345,474.180,8,16.112,125.323
346,474.636,8,18.910,121.345
347,475.489,14,142.220,102.927
348,476.933,7,14.999,125.383
349,476.941,2,77.822,115.284
350,479.209,15,51.308,114.508
351,480.395,11,445.489,112.066
352,480.996,5,336.699,111.345
353,481.057,14,32.348,105.388
354,482.762,20,161.368,95.888
355,482.852,3,35.765,111.969
356,485.914,20,260.118,123.336
357,487.332,4,67.799,110.256
358,490.719,5,80.772,130.267
359,490.852,2,46.770,130.187
360,491.583,16,281.122,123.143
361,492.955,5,67.554,116.659
362,494.930,18,80.201,127.404
363,498.159,11,28.654,108.575
364,499.092,4,37.412,117.715
365,509.338,17,43.021,105.792
366,510.184,3,43.064,125.668
367,510.655,7,257.015,125.198
368,510.764,19,44.080,116.028
369,511.000,5,124.865,111.372
370,513.616,7,36.495,118.024
371,513.988,16,71.089,128.600
372,515.861,2,180.291,114.425
373,516.685,18,221.520,119.612
374,519.131,15,343.201,110.574
375,519.867,9,153.786,120.825
376,522.487,5,55.440,123.834
377,523.114,10,213.274,118.117
378,525.230,10,22.039,128.391
379,525.344,4,331.115,119.848
380,525.948,17,45.978,124.713
381,532.636,8,116.395,139.732
382,534.588,9,28.340,105.960
383,534.852,1,26.418,114.061
384,535.779,19,13.747,111.042
385,537.274,20,41.346,103.313
386,539.191,12,110.944,117.175
387,539.498,19,281.542,92.565
388,539.809,11,74.132,121.594
389,540.289,18,47.018,112.820
390,542.909,19,47.213,117.975
391,546.609,13,83.385,131.802
392,547.523,16,200.958,114.721
393,548.595,4,16.615,114.922
394,549.675,2,67.457,122.317
395,551.219,7,12.799,109.393
396,552.339,15,184.716,106.714
397,553.389,9,322.512,120.046
398,554.811,18,62.637,122.494
399,555.494,12,22.611,125.364
400,557.327,17,34.240,125.755
401,558.343,5,10.064,111.228
402,559.619,7,68.190,110.969
403,560.369,18,66.799,115.513
404,561.243,11,315.960,124.309
405,564.078,15,96.752,114.353
406,564.788,16,30.721,122.513
407,565.119,10,54.475,130.604
408,566.560,6,26.077,126.806
409,570.261,11,167.734,111.346
410,570.273,17,265.368,131.592
411,571.228,14,186.007,123.537
412,571.815,3,255.160,143.238
413,577.383,17,115.860,129.652
414,578.743,11,134.656,125.410
415,584.133,12,14.198,116.966
416,586.128,11,103.406,122.935
417,594.918,3,102.630,120.544
418,595.748,1,85.736,111.562
419,596.425,7,84.430,119.780
420,596.978,5,272.914,131.305
421,597.577,14,111.725,120.489
422,598.978,7,104.631,108.276
423,599.084,18,275.062,113.120
424,599.714,20,290.990,117.504
425,599.950,18,68.965,124.819
426,600.581,16,67.761,116.971
427,601.263,20,29.766,121.382
428,601.598,6,51.432,124.651
429,602.214,20,10.862,117.104
430,602.628,8,26.487,115.258
431,603.158,15,94.655,129.204
432,603.996,10,38.264,122.898
433,610.571,15,35.277,121.235
434,610.599,2,51.853,109.347
435,611.764,17,160.057,101.746
436,613.671,12,58.584,131.791
437,613.743,5,53.544,108.808
438,613.752,10,93.428,108.876
439,614.091,12,67.933,119.368
440,614.498,15,105.553,126.183
441,615.774,3,114.673,136.011
442,616.241,10,309.297,126.964
443,616.495,8,335.067,104.729
444,616.634,3,92.437,129.157
445,618.489,13,111.646,111.848
446,618.544,13,145.651,123.800
447,619.593,6,229.916,140.007
448,619.937,16,131.883,111.421
449,620.096,11,170.724,136.114
450,623.297,8,105.564,115.542
451,626.055,3,48.519,113.779
452,628.180,19,33.596,124.052
453,628.298,3,27.021,110.647
454,628.801,20,211.004,126.486
455,628.936,14,128.594,116.004
456,632.013,6,55.148,120.176
457,632.194,20,68.974,120.964
458,632.471,12,31.883,118.639
459,633.174,5,217.868,115.549
460,633.437,18,16.816,132.118
461,634.279,14,102.581,105.436
462,634.293,19,232.580,124.803
463,634.421,6,55.324,120.743
464,635.417,20,283.051,112.471
465,641.695,17,102.098,110.642
466,644.903,20,70.060,126.627
467,648.413,1,49.095,118.058
468,648.749,5,152.018,114.585
469,650.888,4,16.441,126.011
470,652.042,8,30.778,114.521
471,652.272,3,55.288,109.453
472,653.649,2,203.083,117.235
473,654.246,17,336.007,119.693
474,655.693,8,27.029,120.028
475,656.110,7,132.439,121.304
476,656.669,1,50.492,115.031
477,657.248,11,236.528,118.996
478,658.104,19,14.767,91.993
479,658.671,5,188.035,121.374
480,658.765,15,117.080,144.675
481,660.279,14,136.366,123.378
482,661.769,15,13.952,114.636
483,662.708,14,137.652,119.613
484,664.644,7,124.060,113.047
485,670.566,10,210.945,119.186
486,671.091,3,54.254,118.057
487,674.587,7,13.675,126.648
488,675.311,10,79.090,121.753
489,677.734,14,29.518,121.916
490,682.486,9,254.220,106.471
491,683.193,9,176.163,117.040
492,684.161,1,218.524,126.695
493,686.612,17,28.993,102.661
494,688.369,14,32.985,114.289
495,690.695,17,261.247,114.525
496,692.202,9,70.493,105.900
497,692.600,1,89.340,116.049
498,692.800,3,46.149,128.764
499,693.133,8,50.240,114.881
500,693.246,8,45.813,113.785
501,694.095,17,529.402,115.339
502,697.033,13,37.831,118.087
503,697.245,10,180.209,104.855
504,701.828,7,443.243,122.656
505,702.842,9,324.112,124.403
506,704.560,7,33.572,113.485
507,706.994,15,18.396,117.226
508,707.623,20,162.989,136.719
509,709.297,8,39.328,131.285
510,709.426,7,12.300,128.832
511,710.774,20,172.621,124.946
512,710.820,2,132.386,117.681
513,712.024,10,148.855,123.004
514,712.416,9,32.537,124.167
515,719.839,15,33.677,111.156
516,720.209,17,466.383,109.407
517,721.864,2,30.738,129.110
518,722.777,17,87.246,113.477
519,725.331,12,53.973,115.770
520,725.829,15,98.806,110.903
521,729.016,18,20.970,122.476
522,729.937,19,24.554,126.860
523,734.034,12,43.078,102.369
524,737.048,2,171.748,126.734
525,737.550,7,88.448,114.565
526,740.139,2,84.291,116.187
527,742.706,18,346.845,127.142
528,742.760,1,560.472,129.013
529,744.197,6,153.768,120.986
530,748.584,16,160.872,102.583
531,752.289,5,30.463,115.363
532,753.425,7,194.656,112.222
533,753.807,14,124.032,118.540
534,754.105,15,45.061,134.439
535,757.314,14,113.412,127.086
536,757.383,17,14.973,131.870
537,757.438,19,20.589,117.909
538,758.005,5,218.167,120.600
539,759.157,7,16.963,116.219
540,759.824,16,46.070,118.601
541,761.574,13,176.751,132.794
542,765.592,15,46.088,132.113
543,767.494,18,29.392,124.340
544,767.833,10,141.239,115.868
545,768.246,14,382.179,107.996
546,769.672,7,137.022,107.454
547,770.983,5,174.014,124.648
548,771.277,15,33.396,114.220
549,773.760,7,166.077,114.771
550,774.565,12,63.805,103.619
551,776.576,7,139.158,110.433
552,776.794,9,125.157,117.081
553,780.861,16,55.868,119.902
554,781.690,3,14.992,133.083
555,782.935,19,49.387,119.319
556,783.051,13,227.307,132.822
557,783.328,1,30.419,111.784
